text,score,sentiment
hey james odd please call contact centre able assist emo_pos many thanks,3.2761041028444904,2
listen last night emo_pos bleed amazing track scotland,2.671055865598964,2
congrats emo_pos,1.1602380492773277,1
yeaah yippy accnt verified rqst succeed got blue tick mark fb profile emo_pos day,3.5885700102873788,2
one irresistible emo_pos flipkartfashionfriday,1.7900131408707167,1
nt like keep lovely customer waiting long hope enjoy happy friday lwwf emo_pos,3.4183094316396807,2
second thought enough time dd emo_pos new short entering system sheep must buying,3.4435049227451877,2
jgh go bayan bye,1.9694848681901518,1
act mischievousness calling etl layer inhouse warehousing app katamari name implies p,3.3053618062136634,2
followfriday top influencers community week emo_pos,2.3021999176160106,2
would nt love big juicy selfies emo_pos,2.440698164306,2
follow amp follow u back emo_pos,1.762644965227542,1
perfect already know waiting emo_pos,2.0687246652317817,2
great new opportunity junior triathletes aged gatorade series get entry emo_pos,3.119285092687317,2
laying greeting card range print today love job emo_pos,2.8076928275355044,2
friend lunch yumm emo_pos nostalgia tb ku,2.4804029734460955,2
id conflict thanks help screenshot working,2.3672045762291862,2
hi liv emo_pos,1.4528595356600238,1
hello need know something u fm twitter sure thing emo_pos dm x,3.0128432027143965,2
followfriday top new follower community week emo_pos,2.514656936109152,2
heard four season pretty dope penthouse obvs gobigorgohome fun yall emo_pos,3.1817879272426453,2
yeah suppose lol chat bit x emo_pos,2.294127826656473,2
hello emo_pos get youth job opportunity follow gt gt,2.555860437083276,2
emo_pos nt seen year,1.7898262769903264,1
thank emo_pos,1.2380590092427857,1
hope rest night go quickly bed got music fix time dream emo_pos,3.30761279656564,2
spiritual ritual festival beginning lineup emo_pos left lineup see,2.518318980602155,2
hey sarah send u email bitsy help asap emo_pos,2.672058779964681,2
lols,1.0,1
kik hatessuce32429 kik kikme lgbt tinder nsfw akua cumshot emo_pos,2.804868516714955,2
come house emo_pos,1.5038424570912552,1
nsn_supplements effective press release distribution result emo_pos link removed pressrelease newsdistribution,3.195689532754719,2
hi bam follow bestfriend love lot emo_pos see warsaw lt love lt x46,3.0657696267790966,2
everyone watch documentary earthling youtube emo_pos,2.272424658333103,2
follow amp follow u back emo_pos,1.762644965227542,1
