text,score
everything kid section ikea cute shame nearly month emo_neg,-2.843362984663219
heart sliding waste basket emo_neg,-2.0477475585082536
hate japanese call ban emo_pos,-2.206350436772979
dang starting next week work emo_neg,-2.25544638807546
oh god baby face emo_neg,-2.0619709803923403
make smile emo_neg,-1.5044079437696425
work neighbour motor asked said hate update search emo_neg,-2.8295088538109394
emo_neg sialanemo_neg,-1.1124152732025274
athabasca glacier emo_neg athabasca glacier jasper jaspernationalpark alberta explorealberta,-2.3427579778557868
really good amp g idea never going meet emo_neg,-2.680483875908841
mare ivan emo_neg,-1.4939797476624552
happy trip keep safe see soon emo_pos emo_neg,-2.683256160804491
tired hahahah emo_neg,-1.488224679852396
knee replacement get amp day emo_neg ouch,-2.415328380060884
relate sweet n sour kind bipolar people life cuz life full emo_neg,-2.9794458608053778
pleasse emo_neg,-1.1124152732025274
im sure tho emo_neg,-1.8131333420488447
feel stupid ca nt seem grasp basic digital painting nothing researching helping emo_neg,-3.3959713209370554
good lord emo_neg,-1.4626595615804092
feel lonely someone talk guy girl emo_neg,-2.4956244629191175
assignment project emo_neg really,-1.7708837989302135
want play video movie someone emo_neg,-2.287415741379505
choreographing hard emo_neg,-1.4843781889692833
email link still say longer available emo_neg,-2.4847138696639814
cry bc miss mingming much emo_neg,-2.228455957492198
sorry emo_neg,-1.1953888036761244
mom far away emo_neg,-1.8139999885912452
truly sorry emo_neg safe flight,-2.0282035616241396
friend emo_neg,-1.1590625450240548
oh emo_neg hate happens get sad,-2.2725186191509685
oh dog pee bag emo_neg take newwine15,-2.465817003473048
doushite emo_neg,-1.1124152732025274
late emo_neg,-1.1475855346616195
suck much sick plan start work first gundam night nope emo_neg,-3.1609980947338117
dollar emo_neg,-1.1124152732025274
listening back old show know weird got u leaving might give pale imitation emo_neg,-3.4448667635709262
went sea massive fucking rash body painful thing ever want go home emo_neg,-3.4322110070867287
hi absent emo_neg,-1.4832240778234205
gran tho knew nt care tell emo_neg,-2.434986636853809
cute love much wish would sequel emo_neg,-2.4452434028255934
busy sa school emo_neg next time love yah xx,-2.834214615549302
ouucchh one wisdom teeth coming emo_neg,-2.2512566649633428
frightening case really get emo_neg,-1.999212478629095
pret emo_neg wkwkw verfied active nt forget follow member thanks join goodbye,-3.258137301346556
got chain love sentirse incompleta,-2.1567195181077006
okay emo_neg,-1.1528849007032917
nt go wednesday emo_neg,-1.7266455961365628
marvellous thwarting emo_neg,-1.4939797476624552
awh chance u zante need something emo_neg x,-2.255460383496115
birthday emo_neg,-1.1425116074957171
worst part still feel bad emo_neg,-2.2742699176468575
audraesar sushi pic tl driving craazzyy emo_neg,-2.4926939801189403
really want emo_neg,-1.5533654830692418
popped like helium balloon emo_neg,-2.006003738387775
climatechange cc california powerful influential air pollution watchdog califor uniteblue tcot emo_neg,-3.3406593503626363
sad elhaida robbed jury emo_neg came televoting,-2.4544125041172986
climatechange cc idaho restrict fishing despite regional droughtlinked dieof uniteblue tcot emo_neg,-3.34142533882461
climatechange cc abrupt climate change may doomed mammoth megafauna sc uniteblue tcot emo_neg,-3.4797733163596156
climatechange cc australia dirtiest power station considers clean energy biomass uniteblue tcot emo_neg,-3.489985742019066
climatechange cc ai nt easy green golf course california ulti uniteblue tcot emo_neg,-3.4433563132834166
well sure work day mine emo_neg,-2.287342428698388
im gon na miss u sexy prexy emo_neg,-2.426817656802271
miss kindergarten kid emo_neg,-1.7474340407782916
hungry emo_neg,-1.1379530600628665
cant find book keep sane emo_neg,-2.2674874041026287
literally three lounge event emo_neg much turn sad,-2.6367163778641145
miss bos emo_neg,-1.4729601457226706
love hozier emo_neg,-1.450103524845729
true want sooner emo_neg,-1.7534288882119786
ahh fam emo_neg respectlost,-1.7956040710237493
sorry emo_neg hypercholesteloremia ok,-1.7607078992358036
baby still look tired emo_neg,-2.0791768721205814
someone gift calibraska emo_neg,-1.7850795121584722
massive shame would actually genuine contender wo nt happen emo_neg,-2.9583073732341147
head always hurt stay late lmao emo_neg,-2.505119253935935
u older emo_neg,-1.127665064183767
backed emo_neg,-1.1124152732025274
u sound upset emo_neg,-1.5101362703428869
much miss emo_neg,-1.5595764596264523
miss infinite emo_neg,-1.4880923650884403
aos nt nt want stick either emo_neg,-2.2386299251074595
much serious yun eh emo_neg,-2.0179173125349377
room way hot emo_neg,-1.8049119012994743
still havent found handsome jack drawing emo_neg,-2.4681100177549293
shit emo_neg,-1.1528849007032917
cut encore emo_neg bad4thwin,-1.8046295312177305
wish baymax emo_neg,-1.4675332417112923
sick emo_neg,-1.1582475500071892
french mixer miss much emo_neg,-1.9750449531843888
wft ca nt watch awesome replay emo_neg,-2.3858467377969137
happened emo_neg,-1.1487234596696736
party promotion emo_neg,-1.492348335960378
music bank encore always short emo_neg,-2.2841212720043313
baby boy emo_neg,-1.5124398428084944
order received hub nearest nt look like delivered today emo_neg,-2.925879660024289
mum playing music loud emo_neg,-2.0549966649295914
finale parasyte fucked feeling way emo_neg,-2.259964360549867
wish emo_neg zayniscomingbackonjuly26,-1.5208141710925447
good bye party era emo_neg,-2.0335144044973954
never got chance take pic emo_neg got hug tho pic next time see,-3.009965260696349
girl came like beautiful emo_neg want dieididieieiei cute,-2.6361221972336204
party goodbye stage emo_neg mean hello lion heart think,-2.8576546175102453
tell screw gon na netflix chill u dis ervin emo_neg,-2.8231904474667964
ohh emo_neg yeah hope come back soon,-2.497409575391338
accepted offer im desperate take year emo_neg,-2.4560262235872075
come back emo_neg,-1.5395507221234606
snapchat amargolonnard snapchat snapchat kikhorny snapme tagsforlikes batalladelosgallos webcamsex emo_neg,-2.5277986047667476
ugh cant stream tmr duty emo_neg,-2.2719409282075764
u gone far emo_neg,-1.5143920586315833
alien thing emo_neg,-1.479368508866337
aww nt really wan na get hope wish would emo_neg,-3.0331108669053672
sorka emo_neg,-1.1124152732025274
knew u would sad emo_neg funeral gon na text u phone,-2.826158042664198
sunny emo_neg feel bad,-1.7728316702662976
nonexistent wowza emo_neg,-1.4939797476624552
back fah mine emo_neg,-1.7675108014628038
taylor crop emo_neg,-1.49534768635082
boo count emo_neg,-1.5037694368909607
new guitar emo_neg,-1.476778410127364
get jonghyun hyung emo_neg please predict emo_neg,-2.2417913718107565
hope sj nominated soon sj v infinite pls emo_neg,-2.234527590281324
yeah dude keep calm brace emo_neg,-2.2771973390950646
sir plus please emo_neg,-1.7534594683445364
